target,prime,rt,key,participant,primetype,relationtype,primert,paikka
СТАВИТЬ,поставить,0.513672199973371,j,L217,related,derivation,der,labra
СЛУШАТЬ,послушать,0.540274500031956,j,L217,related,derivation,der,labra
ПРОСИТЬ,попросить,0.535469499998726,j,L217,related,derivation,der,labra
КУРИТЬ,покурить,0.630043799988925,j,L217,related,derivation,der,labra
СЧИТАТЬ,посчитать,0.836931800004095,j,L217,related,derivation,der,labra
ЖЕЛАТЬ,пожелать,0.541914100002032,j,L217,related,derivation,der,labra
ИСКАТЬ,поискать,0.509859999991022,j,L217,related,derivation,der,labra
ТЕРЯТЬ,потерять,0.504231900034938,j,L217,related,derivation,der,labra
ТРАТИТЬ,потратить,0.538858399959281,j,L217,related,derivation,der,labra
СИДЕТЬ,первый,0.519919499987736,j,L217,unrelated,derivation,unrel,labra
ДУМАТЬ,другой,0.640201800037175,j,L217,unrelated,derivation,unrel,labra
ГОВОРИТЬ,все-таки,0.569875399989542,j,L217,unrelated,derivation,unrel,labra
ЛЕЖАТЬ,полежать,0.636116899957415,j,L217,related,derivation,der,labra
СТРОИТЬ,область,0.64155609998852,j,L217,unrelated,derivation,unrel,labra
ПЛАКАТЬ,плакал,0.860697500000242,j,L217,related,inflection,inf,labra
ВЫБРАТЬ,выбрал,0.56143569998676,j,L217,related,inflection,inf,labra
ВСТРЕЧАТЬ,встречал,0.539394700026605,j,L217,related,inflection,inf,labra
КРИЧАТЬ,кричал,0.745540599978995,j,L217,related,inflection,inf,labra
СООБЩИТЬ,сообщил,0.731997099996079,j,L217,related,inflection,inf,labra
УБИТЬ,убил,1.18786950001959,j,L217,related,inflection,inf,labra
БРОСИТЬ,никакой,0.72560240002349,j,L217,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.589761900017038,j,L217,related,inflection,inf,labra
ПОНЯТЬ,хорошо,0.65852040000027,j,L217,unrelated,inflection,unrel,labra
НАЧАТЬ,всякий,0.614584999973886,j,L217,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.633438700053375,j,L217,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.64798939996399,j,L217,unrelated,inflection,unrel,labra
СЛЫШАТЬ,история,0.599666499998421,j,L217,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,0.675882900017314,j,L217,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.827315200003795,j,L217,unrelated,inflection,unrel,labra
СНИМАТЬ,развитие,0.558827000029851,j,L217,unrelated,inflection,unrel,labra
ЗАБЫТЬ,забыл,0.669700500031468,j,L217,related,inflection,inf,labra
СОБРАТЬ,собрал,0.800260199990589,j,L217,related,inflection,inf,labra
СТРАДАТЬ,пострадать,0.603233200032264,j,L219,related,derivation,der,labra
СМОТРЕТЬ,посмотреть,0.574344900029246,j,L219,related,derivation,der,labra
СТОЯТЬ,постоять,0.644338500045706,j,L219,related,derivation,der,labra
ИГРАТЬ,поиграть,0.585777400003281,j,L219,related,derivation,der,labra
СТАВИТЬ,поставить,0.765179900045041,j,L219,related,derivation,der,labra
СЛУШАТЬ,послушать,0.57276940002339,j,L219,related,derivation,der,labra
ПРОСИТЬ,попросить,0.983345700020436,j,L219,related,derivation,der,labra
КУРИТЬ,покурить,0.59764069999801,j,L219,related,derivation,der,labra
СЧИТАТЬ,посчитать,0.868438099976629,j,L219,related,derivation,der,labra
ЖЕЛАТЬ,пожелать,0.646011799981352,j,L219,related,derivation,der,labra
