target,prime,rt,key,participant,prof,primetype,relationtype,primert,paikka,immersion,age,years
БРОСИТЬ,никакой,0.880783599999631,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
УМЕТЬ,умел,0.594586300000628,j,L29,aine,related,inflection,inf,labra,yes,40,5
ПОНЯТЬ,хорошо,0.587334899999405,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
НАЧАТЬ,всякий,0.47184180000022,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
ПИСАТЬ,черный,0.507005700000263,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
РЕШИТЬ,далекий,0.688826399999925,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
СЛЫШАТЬ,история,0.713829299999816,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
ПОМНИТЬ,власть,0.582840099999885,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
СНИМАТЬ,развитие,0.54277379999985,j,L29,aine,a_unrelated,inflection,unrel,labra,yes,40,5
ЗАБЫТЬ,забыл,0.68794650000018,j,L29,aine,related,inflection,inf,labra,yes,40,5
СТРАДАТЬ,пострадать,0.539910400000736,j,L211,syv,related,derivation,der,labra,yes,40,5
СМОТРЕТЬ,посмотреть,0.451970399999482,j,L211,syv,related,derivation,der,labra,yes,40,5
СТОЯТЬ,постоять,0.534796600000846,j,L211,syv,related,derivation,der,labra,yes,40,5
ИГРАТЬ,поиграть,0.502499800000805,j,L211,syv,related,derivation,der,labra,yes,40,5
СТАВИТЬ,поставить,0.564681300000302,j,L211,syv,related,derivation,der,labra,yes,40,5
СЛУШАТЬ,послушать,0.572702800000116,j,L211,syv,related,derivation,der,labra,yes,40,5
ПРОСИТЬ,попросить,0.528974900000321,j,L211,syv,related,derivation,der,labra,yes,40,5
КУРИТЬ,покурить,0.474033500000587,j,L211,syv,related,derivation,der,labra,yes,40,5
СЧИТАТЬ,посчитать,0.699471599999015,j,L211,syv,related,derivation,der,labra,yes,40,5
ЖЕЛАТЬ,пожелать,0.44787340000039,j,L211,syv,related,derivation,der,labra,yes,40,5
ИСКАТЬ,поискать,0.586730999999418,j,L211,syv,related,derivation,der,labra,yes,40,5
ТЕРЯТЬ,потерять,0.385625400000208,j,L211,syv,related,derivation,der,labra,yes,40,5
ТРАТИТЬ,потратить,0.636680400000842,j,L211,syv,related,derivation,der,labra,yes,40,5
СИДЕТЬ,первый,0.497755899999902,j,L211,syv,a_unrelated,derivation,unrel,labra,yes,40,5
ДУМАТЬ,другой,0.585933099999238,j,L211,syv,a_unrelated,derivation,unrel,labra,yes,40,5
ГОВОРИТЬ,все-таки,0.477791299999808,j,L211,syv,a_unrelated,derivation,unrel,labra,yes,40,5
ЛЕЖАТЬ,полежать,0.630660599999828,j,L211,syv,related,derivation,der,labra,yes,40,5
ДЕРЖАТЬ,работа,0.558135100000072,j,L211,syv,a_unrelated,derivation,unrel,labra,yes,40,5
ВЕРИТЬ,самый,0.436979999998584,j,L211,syv,a_unrelated,derivation,unrel,labra,yes,40,5
СТРОИТЬ,область,0.677269799998612,j,L211,syv,a_unrelated,derivation,unrel,labra,yes,40,5
ПЛАКАТЬ,плакал,0.501274000000194,j,L211,syv,related,inflection,inf,labra,yes,40,5
ВЫБРАТЬ,выбрал,0.64078309999968,j,L211,syv,related,inflection,inf,labra,yes,40,5
ВСТРЕЧАТЬ,встречал,0.553400000000693,j,L211,syv,related,inflection,inf,labra,yes,40,5
КРИЧАТЬ,кричал,0.465558699999747,j,L211,syv,related,inflection,inf,labra,yes,40,5
СООБЩИТЬ,сообщил,0.635302200000297,j,L211,syv,related,inflection,inf,labra,yes,40,5
УБИТЬ,убил,0.416323299999931,j,L211,syv,related,inflection,inf,labra,yes,40,5
БЕЖАТЬ,бежал,0.474118800000724,j,L211,syv,related,inflection,inf,labra,yes,40,5
БРОСИТЬ,никакой,0.344281300000148,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
УМЕТЬ,умел,0.680604099999982,j,L211,syv,related,inflection,inf,labra,yes,40,5
ПОНЯТЬ,хорошо,0.644759700000577,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
НАЧАТЬ,всякий,0.513480499999787,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
ПИСАТЬ,черный,0.541538800000126,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
РЕШИТЬ,далекий,0.690635400000247,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
СЛЫШАТЬ,история,0.90801780000038,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
ПОМНИТЬ,власть,0.337454500000604,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
УЗНАТЬ,тысяча,0.518630100001246,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
СНИМАТЬ,развитие,0.54840460000014,j,L211,syv,a_unrelated,inflection,unrel,labra,yes,40,5
ЗАБЫТЬ,забыл,0.459912300000724,j,L211,syv,related,inflection,inf,labra,yes,40,5
СОБРАТЬ,собрал,0.620631499999945,j,L211,syv,related,inflection,inf,labra,yes,40,5
СТРАДАТЬ,пострадать,0.813088800001424,j,L213,aine,related,derivation,der,labra,no,20,4
СМОТРЕТЬ,посмотреть,0.751560500008054,j,L213,aine,related,derivation,der,labra,no,20,4
СТОЯТЬ,постоять,0.646694099996239,j,L213,aine,related,derivation,der,labra,no,20,4
ИГРАТЬ,поиграть,0.5589702000143,j,L213,aine,related,derivation,der,labra,no,20,4
СТАВИТЬ,поставить,0.590566599974409,j,L213,aine,related,derivation,der,labra,no,20,4
СЛУШАТЬ,послушать,0.580775399983395,j,L213,aine,related,derivation,der,labra,no,20,4
ПРОСИТЬ,попросить,0.60427750000963,j,L213,aine,related,derivation,der,labra,no,20,4
КУРИТЬ,покурить,0.591437400027644,j,L213,aine,related,derivation,der,labra,no,20,4
СЧИТАТЬ,посчитать,0.600942500052042,j,L213,aine,related,derivation,der,labra,no,20,4
ЖЕЛАТЬ,пожелать,1.04780010000104,j,L213,aine,related,derivation,der,labra,no,20,4
ИСКАТЬ,поискать,0.80353340000147,j,L213,aine,related,derivation,der,labra,no,20,4
ТЕРЯТЬ,потерять,0.791952900006436,j,L213,aine,related,derivation,der,labra,no,20,4
ТРАТИТЬ,потратить,0.640977699949872,j,L213,aine,related,derivation,der,labra,no,20,4
